State,County,State Code,County Code
Alabama,Baldwin,1,3
Alabama,Clay,1,27
Alabama,DeKalb,1,49
Alabama,Elmore,1,51
Alabama,Etowah,1,55
Alabama,Jefferson,1,73
Alabama,Lawrence,1,79
Alabama,Madison,1,89
Alabama,Mobile,1,97
Alabama,Montgomery,1,101
Alabama,Morgan,1,103
Alabama,Russell,1,113
Alabama,Shelby,1,117
Alabama,Sumter,1,119
Alabama,Tuscaloosa,1,125
Alaska,Aleutians East ,2,13
Alaska,Anchorage ,2,20
Alaska,Denali ,2,68
Alaska,Fairbanks North Star ,2,90
Alaska,Juneau ,2,110
Alaska,Kenai Peninsula ,2,122
Alaska,Matanuska-Susitna ,2,170
Alaska,North Slope ,2,185
Arizona,Apache,4,1
Arizona,Cochise,4,3
Arizona,Coconino,4,5
Arizona,Gila,4,7
Arizona,La Paz,4,12
Arizona,Maricopa,4,13
Arizona,Mohave,4,15
Arizona,Navajo,4,17
Arizona,Pima,4,19
Arizona,Pinal,4,21
Arizona,Santa Cruz,4,23
Arizona,Yavapai,4,25
Arizona,Yuma,4,27
Arkansas,Arkansas,5,1
Arkansas,Ashley,5,3
Arkansas,Clark,5,19
Arkansas,Crittenden,5,35
Arkansas,Garland,5,51
Arkansas,Jackson,5,67
Arkansas,Newton,5,101
Arkansas,Polk,5,113
Arkansas,Pulaski,5,119
Arkansas,Union,5,139
Arkansas,Washington,5,143
California,Alameda,6,1
California,Amador,6,5
California,Butte,6,7
California,Calaveras,6,9
California,Colusa,6,11
California,Contra Costa,6,13
California,Del Norte,6,15
California,El Dorado,6,17
California,Fresno,6,19
California,Glenn,6,21
California,Humboldt,6,23
California,Imperial,6,25
California,Inyo,6,27
California,Kern,6,29
California,Kings,6,31
California,Lake,6,33
California,Los Angeles,6,37
California,Madera,6,39
California,Marin,6,41
California,Mariposa,6,43
California,Mendocino,6,45
California,Merced,6,47
California,Mono,6,51
California,Monterey,6,53
California,Nevada,6,57
California,Orange,6,59
California,Placer,6,61
California,Plumas,6,63
California,Riverside,6,65
California,Sacramento,6,67
California,San Benito,6,69
California,San Bernardino,6,71
California,San Diego,6,73
California,San Francisco,6,75
California,San Joaquin,6,77
California,San Luis Obispo,6,79
California,San Mateo,6,81
California,Santa Barbara,6,83
California,Santa Clara,6,85
California,Santa Cruz,6,87
California,Shasta,6,89
California,Siskiyou,6,93
California,Solano,6,95
California,Sonoma,6,97
California,Stanislaus,6,99
California,Sutter,6,101
California,Tehama,6,103
California,Trinity,6,105
California,Tulare,6,107
California,Tuolumne,6,109
California,Ventura,6,111
California,Yolo,6,113
Colorado,Adams,8,1
Colorado,Alamosa,8,3
Colorado,Arapahoe,8,5
Colorado,Archuleta,8,7
Colorado,Boulder,8,13
Colorado,Clear Creek,8,19
Colorado,Delta,8,29
Colorado,Denver,8,31
Colorado,Douglas,8,35
Colorado,El Paso,8,41
Colorado,Fremont,8,43
Colorado,Garfield,8,45
Colorado,Gilpin,8,47
Colorado,Gunnison,8,51
Colorado,Jackson,8,57
Colorado,Jefferson,8,59
Colorado,La Plata,8,67
Colorado,Larimer,8,69
Colorado,Mesa,8,77
Colorado,Montezuma,8,83
Colorado,Pitkin,8,97
Colorado,Prowers,8,99
Colorado,Pueblo,8,101
Colorado,Rio Blanco,8,103
Colorado,Routt,8,107
Colorado,San Juan,8,111
Colorado,San Miguel,8,113
Colorado,Weld,8,123
Connecticut,Fairfield,9,1
Connecticut,Hartford,9,3
Connecticut,Litchfield,9,5
Connecticut,Middlesex,9,7
Connecticut,New Haven,9,9
Connecticut,New London,9,11
Connecticut,Tolland,9,13
Connecticut,Windham,9,15
Country Of Mexico,BAJA CALIFORNIA NORTE,80,2
Country Of Mexico,SONORA,80,26
Delaware,Kent,10,1
Delaware,New Castle,10,3
Delaware,Sussex,10,5
